counts,Every.Stepback,X,Harden.s.Sample,X.1,X.2,X.3,X.4
1,1=Miss,NA,1,NA,NA,H,0.43852459
2,0=Make,NA,0,NA,NA,,NA
3,,NA,1,NA,NA,,NA
4,,NA,0,NA,NA,,NA
5,,NA,1,NA,NA,,NA
6,,NA,1,NA,NA,,NA
7,,NA,1,NA,NA,,NA
8,,NA,0,NA,NA,,NA
9,,NA,0,NA,NA,,NA
10,,NA,0,NA,NA,,NA
11,,NA,1,NA,NA,,NA
12,,NA,1,NA,NA,,NA
13,,NA,1,NA,NA,,NA
14,,NA,0,NA,NA,,NA
15,,NA,1,NA,NA,,NA
16,,NA,0,NA,NA,,NA
17,,NA,0,NA,NA,,NA
18,,NA,0,NA,NA,,NA
19,,NA,0,NA,NA,,NA
20,,NA,0,NA,NA,,NA
21,,NA,1,NA,NA,,NA
22,,NA,1,NA,NA,,NA
23,,NA,1,NA,NA,,NA
24,,NA,1,NA,NA,,NA
25,,NA,1,NA,NA,,NA
26,,NA,1,NA,NA,,NA
27,,NA,1,NA,NA,,NA
28,,NA,1,NA,NA,,NA
29,,NA,0,NA,NA,,NA
30,,NA,1,NA,NA,,NA
31,,NA,1,NA,NA,,NA
32,,NA,1,NA,NA,,NA
33,,NA,1,NA,NA,,NA
34,,NA,1,NA,NA,,NA
35,,NA,0,NA,NA,,NA
36,,NA,0,NA,NA,,NA
37,,NA,1,NA,NA,,NA
38,,NA,1,NA,NA,,NA
39,,NA,0,NA,NA,,NA
40,,NA,1,NA,NA,,NA
41,,NA,1,NA,NA,,NA
42,,NA,1,NA,NA,,NA
43,,NA,0,NA,NA,,NA
44,,NA,0,NA,NA,,NA
45,,NA,0,NA,NA,,NA
46,,NA,1,NA,NA,,NA
47,,NA,0,NA,NA,,NA
48,,NA,1,NA,NA,,NA
49,,NA,1,NA,NA,,NA
50,,NA,0,NA,NA,,NA
51,,NA,1,NA,NA,,NA
52,,NA,1,NA,NA,,NA
53,,NA,1,NA,NA,,NA
54,,NA,0,NA,NA,,NA
55,,NA,0,NA,NA,,NA
56,,NA,0,NA,NA,,NA
57,,NA,0,NA,NA,,NA
58,,NA,1,NA,NA,,NA
59,,NA,1,NA,NA,,NA
60,,NA,1,NA,NA,,NA
61,,NA,1,NA,NA,,NA
62,,NA,0,NA,NA,,NA
63,,NA,1,NA,NA,,NA
64,,NA,0,NA,NA,,NA
65,,NA,0,NA,NA,,NA
66,,NA,0,NA,NA,,NA
67,,NA,0,NA,NA,,NA
68,,NA,1,NA,NA,,NA
69,,NA,1,NA,NA,,NA
70,,NA,0,NA,NA,,NA
71,,NA,1,NA,NA,,NA
72,,NA,0,NA,NA,,NA
73,,NA,1,NA,NA,,NA
74,,NA,0,NA,NA,,NA
75,,NA,0,NA,NA,,NA
76,,NA,1,NA,NA,,NA
77,,NA,0,NA,NA,,NA
78,,NA,0,NA,NA,,NA
79,,NA,0,NA,NA,,NA
80,,NA,0,NA,NA,,NA
81,,NA,0,NA,NA,,NA
82,,NA,0,NA,NA,,NA
83,,NA,1,NA,NA,,NA
84,,NA,0,NA,NA,,NA
85,,NA,0,NA,NA,,NA
86,,NA,0,NA,NA,,NA
87,,NA,0,NA,NA,,NA
88,,NA,0,NA,NA,,NA
89,,NA,1,NA,NA,,NA
90,,NA,0,NA,NA,,NA
91,,NA,1,NA,NA,,NA
92,,NA,1,NA,NA,,NA
93,,NA,1,NA,NA,,NA
94,,NA,0,NA,NA,,NA
95,,NA,0,NA,NA,,NA
96,,NA,0,NA,NA,,NA
97,,NA,1,NA,NA,,NA
98,,NA,0,NA,NA,,NA
99,,NA,1,NA,NA,,NA
100,,NA,0,NA,NA,,NA
101,,NA,1,NA,NA,,NA
102,,NA,0,NA,NA,,NA
103,,NA,0,NA,NA,,NA
104,,NA,0,NA,NA,,NA
105,,NA,1,NA,NA,,NA
106,,NA,1,NA,NA,,NA
107,,NA,0,NA,NA,,NA
108,,NA,1,NA,NA,,NA
109,,NA,0,NA,NA,,NA
110,,NA,0,NA,NA,,NA
111,,NA,0,NA,NA,,NA
112,,NA,0,NA,NA,,NA
113,,NA,0,NA,NA,,NA
114,,NA,0,NA,NA,,NA
115,,NA,1,NA,NA,,NA
116,,NA,0,NA,NA,,NA
117,,NA,0,NA,NA,,NA
118,,NA,0,NA,NA,,NA
119,,NA,0,NA,NA,,NA
120,,NA,1,NA,NA,,NA
121,,NA,0,NA,NA,,NA
122,,NA,0,NA,NA,,NA
123,,NA,1,NA,NA,,NA
124,,NA,0,NA,NA,,NA
125,,NA,1,NA,NA,,NA
126,,NA,1,NA,NA,,NA
127,,NA,0,NA,NA,,NA
128,,NA,1,NA,NA,,NA
129,,NA,0,NA,NA,,NA
130,,NA,0,NA,NA,,NA
131,,NA,0,NA,NA,,NA
132,,NA,1,NA,NA,,NA
133,,NA,1,NA,NA,,NA
134,,NA,0,NA,NA,,NA
135,,NA,0,NA,NA,,NA
136,,NA,0,NA,NA,,NA
137,,NA,0,NA,NA,,NA
138,,NA,0,NA,NA,,NA
139,,NA,1,NA,NA,,NA
140,,NA,1,NA,NA,,NA
141,,NA,0,NA,NA,,NA
142,,NA,0,NA,NA,,NA
143,,NA,1,NA,NA,,NA
144,,NA,1,NA,NA,,NA
145,,NA,0,NA,NA,,NA
146,,NA,1,NA,NA,,NA
147,,NA,0,NA,NA,,NA
148,,NA,0,NA,NA,,NA
149,,NA,0,NA,NA,,NA
150,,NA,1,NA,NA,,NA
151,,NA,0,NA,NA,,NA
152,,NA,0,NA,NA,,NA
153,,NA,0,NA,NA,,NA
154,,NA,1,NA,NA,,NA
155,,NA,0,NA,NA,,NA
156,,NA,1,NA,NA,,NA
157,,NA,0,NA,NA,,NA
158,,NA,0,NA,NA,,NA
159,,NA,0,NA,NA,,NA
160,,NA,1,NA,NA,,NA
161,,NA,1,NA,NA,,NA
162,,NA,0,NA,NA,,NA
163,,NA,1,NA,NA,,NA
164,,NA,0,NA,NA,,NA
165,,NA,0,NA,NA,,NA
166,,NA,0,NA,NA,,NA
167,,NA,0,NA,NA,,NA
168,,NA,0,NA,NA,,NA
169,,NA,1,NA,NA,,NA
170,,NA,0,NA,NA,,NA
171,,NA,0,NA,NA,,NA
172,,NA,1,NA,NA,,NA
173,,NA,1,NA,NA,,NA
174,,NA,1,NA,NA,,NA
175,,NA,1,NA,NA,,NA
176,,NA,1,NA,NA,,NA
177,,NA,1,NA,NA,,NA
178,,NA,0,NA,NA,,NA
179,,NA,0,NA,NA,,NA
180,,NA,0,NA,NA,,NA
181,,NA,0,NA,NA,,NA
182,,NA,1,NA,NA,,NA
183,,NA,0,NA,NA,,NA
184,,NA,0,NA,NA,,NA
185,,NA,0,NA,NA,,NA
186,,NA,0,NA,NA,,NA
187,,NA,1,NA,NA,,NA
188,,NA,1,NA,NA,,NA
189,,NA,0,NA,NA,,NA
190,,NA,1,NA,NA,,NA
191,,NA,1,NA,NA,,NA
192,,NA,0,NA,NA,,NA
193,,NA,0,NA,NA,,NA
194,,NA,0,NA,NA,,NA
195,,NA,1,NA,NA,,NA
196,,NA,1,NA,NA,,NA
197,,NA,1,NA,NA,,NA
198,,NA,0,NA,NA,,NA
199,,NA,0,NA,NA,,NA
200,,NA,1,NA,NA,,NA
201,,NA,1,NA,NA,,NA
202,,NA,0,NA,NA,,NA
203,,NA,1,NA,NA,,NA
204,,NA,1,NA,NA,,NA
205,,NA,0,NA,NA,,NA
206,,NA,0,NA,NA,,NA
207,,NA,0,NA,NA,,NA
208,,NA,0,NA,NA,,NA
209,,NA,0,NA,NA,,NA
210,,NA,1,NA,NA,,NA
211,,NA,0,NA,NA,,NA
212,,NA,0,NA,NA,,NA
213,,NA,0,NA,NA,,NA
214,,NA,1,NA,NA,,NA
215,,NA,1,NA,NA,,NA
216,,NA,0,NA,NA,,NA
217,,NA,0,NA,NA,,NA
218,,NA,1,NA,NA,,NA
219,,NA,1,NA,NA,,NA
220,,NA,0,NA,NA,,NA
221,,NA,0,NA,NA,,NA
222,,NA,0,NA,NA,,NA
223,,NA,0,NA,NA,,NA
224,,NA,0,NA,NA,,NA
225,,NA,1,NA,NA,,NA
226,,NA,0,NA,NA,,NA
227,,NA,0,NA,NA,,NA
228,,NA,0,NA,NA,,NA
229,,NA,1,NA,NA,,NA
230,,NA,1,NA,NA,,NA
231,,NA,0,NA,NA,,NA
232,,NA,1,NA,NA,,NA
233,,NA,0,NA,NA,,NA
234,,NA,1,NA,NA,,NA
235,,NA,0,NA,NA,,NA
236,,NA,0,NA,NA,,NA
237,,NA,0,NA,NA,,NA
238,,NA,1,NA,NA,,NA
239,,NA,0,NA,NA,,NA
240,,NA,1,NA,NA,,NA
241,,NA,1,NA,NA,,NA
242,,NA,1,NA,NA,,NA
243,,NA,0,NA,NA,,NA
244,,NA,1,NA,NA,,NA